timestamp,mac,vendor,ts,rssi,sn
2018/7/18 1:01,88e9fe5030a2,"Apple, Inc.",1531875641,-62,1773
2018/7/18 1:01,58404ec1cdd4,"Apple, Inc.",1531875642,-56,196
2018/7/18 1:01,7811dcea1e26,"XIAOMI Electronics,CO.,LTD",1531875642,-46,783
2018/7/18 1:01,7811dcea1e26,"XIAOMI Electronics,CO.,LTD",1531875643,-42,786
2018/7/18 1:01,22737d0e3a62,locally administrator,1531875643,-70,1867
2018/7/18 1:01,469b9ee62770,locally administrator,1531875643,-64,2429
2018/7/18 1:01,be9afc7e982f,locally administrator,1531875644,-66,1540
2018/7/18 1:01,7edfab06015c,locally administrator,1531875646,-72,1913
2018/7/18 1:01,f079e8530bb3,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",1531875647,-80,620
2018/7/18 1:01,80a58987bd5d,AzureWave Technology Inc.,1531875648,-60,592
2018/7/18 1:01,daa119ab43a6,,1531875649,-76,1888
2018/7/18 1:01,2263f3beea6f,locally administrator,1531875650,-82,204
2018/7/18 1:01,2602b295fce7,locally administrator,1531875650,-68,1959
2018/7/18 1:01,be64df5752b1,locally administrator,1531875654,-70,4089
2018/7/18 1:01,e0b9a57f7580,AzureWave Technology Inc.,1531875654,-66,377
2018/7/18 1:01,9ee438ae8c10,locally administrator,1531875654,-74,1849
2018/7/18 1:01,2afa6910387a,locally administrator,1531875654,-80,3822
2018/7/18 1:01,f2058f883bd7,locally administrator,1531875655,-66,249
2018/7/18 1:01,daa11900cdce,,1531875656,-80,821
2018/7/18 1:01,52b7af45a617,locally administrator,1531875657,-64,192
2018/7/18 1:01,b6344c8952ce,locally administrator,1531875659,-68,2503
2018/7/18 1:01,f6ba9b379161,locally administrator,1531875661,-82,692
2018/7/18 1:01,2816adc9da2e,Intel Corporate,1531875662,-62,120
2018/7/18 1:01,32748b9631e8,locally administrator,1531875662,-76,4045
2018/7/18 1:01,1244e8f95595,locally administrator,1531875662,-64,1796
2018/7/18 1:01,564aac48b36e,locally administrator,1531875664,-80,3091
2018/7/18 1:01,14dda9364e6b,ASUSTek COMPUTER INC.,1531875666,-68,3972
2018/7/18 1:01,14dda9364e6b,ASUSTek COMPUTER INC.,1531875671,-70,4015
2018/7/18 1:01,14dda9364e6b,ASUSTek COMPUTER INC.,1531875676,-70,4059
